lr: 0.01, lr_cls: 0.001, tau: 0.9999, m: 0.999, k: 30
Fold 1:	Aupr:0.96433	AUC:0.96349	F1_Score:0.91329	ACC:0.91247	MCC:0.82509
Fold 2:	Aupr:0.96947	AUC:0.96660	F1_Score:0.91822	ACC:0.91617	MCC:0.83339
Fold 3:	Aupr:0.96645	AUC:0.96553	F1_Score:0.91304	ACC:0.91192	MCC:0.82411
Fold 4:	Aupr:0.96951	AUC:0.96478	F1_Score:0.91440	ACC:0.91432	MCC:0.82865
Fold 5:	Aupr:0.96781	AUC:0.96502	F1_Score:0.92107	ACC:0.92061	MCC:0.84128
Fold 6:	Aupr:0.96803	AUC:0.96329	F1_Score:0.91696	ACC:0.91654	MCC:0.83313
Fold 7:	Aupr:0.96637	AUC:0.96202	F1_Score:0.91170	ACC:0.91118	MCC:0.82241
Fold 8:	Aupr:0.96099	AUC:0.96121	F1_Score:0.91496	ACC:0.91414	MCC:0.82843
Fold 9:	Aupr:0.96348	AUC:0.96275	F1_Score:0.91229	ACC:0.91044	MCC:0.82161
Fold 10:	Aupr:0.95650	AUC:0.95327	F1_Score:0.89935	ACC:0.89959	MCC:0.79920
Final result:	Aupr:0.96529	AUC:0.96280	F1_Score:0.91353	ACC:0.91274	MCC"0.82573

