lr: 0.01, lr_cls: 0.001, tau: 0.9999, m: 0.999, k: 30
Fold 1:	Aupr:0.92728	AUC:0.92796	F1_Score:0.88536	ACC:0.88182	MCC:0.76510
Fold 2:	Aupr:0.89122	AUC:0.90430	F1_Score:0.87136	ACC:0.86364	MCC:0.73257
Fold 3:	Aupr:0.91231	AUC:0.91784	F1_Score:0.85814	ACC:0.85273	MCC:0.70752
Fold 4:	Aupr:0.91337	AUC:0.89833	F1_Score:0.84926	ACC:0.85091	MCC:0.70199
Fold 5:	Aupr:0.94227	AUC:0.93267	F1_Score:0.87681	ACC:0.87636	MCC:0.75275
Fold 6:	Aupr:0.91842	AUC:0.92665	F1_Score:0.88380	ACC:0.88000	MCC:0.76163
Fold 7:	Aupr:0.91033	AUC:0.92112	F1_Score:0.87170	ACC:0.86727	MCC:0.73630
Fold 8:	Aupr:0.92037	AUC:0.92298	F1_Score:0.86940	ACC:0.87273	MCC:0.74642
Fold 9:	Aupr:0.92727	AUC:0.93035	F1_Score:0.88968	ACC:0.88727	MCC:0.77528
Fold 10:	Aupr:0.90734	AUC:0.91754	F1_Score:0.87215	ACC:0.86823	MCC:0.73785
Final result:	Aupr:0.91702	AUC:0.91997	F1_Score:0.87277	ACC:0.87010	MCC"0.74174
